                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.99534,                 1.4557,                 1.2755,                0.53058,                 0.5224,                0.51551,                0.32664,                 1.1742,                 1.6456,                  1.363,             0.00084162,             0.00084162,             0.00084162
                     35,                0.99599,                 1.4398,                 1.2873,                0.45655,                0.53292,                0.47758,                0.30961,                 1.1873,                 1.6787,                 1.3724,             0.00082925,             0.00082925,             0.00082925
                     36,                0.97885,                 1.4333,                 1.2631,                0.46806,                0.57116,                0.47424,                0.31229,                 1.1553,                 1.7391,                 1.3799,             0.00081688,             0.00081688,             0.00081688
                     37,                0.97777,                 1.4259,                   1.29,                0.49704,                0.48563,                0.48599,                0.32841,                  1.171,                 1.6603,                 1.3699,              0.0008045,              0.0008045,              0.0008045
                     38,                0.95379,                 1.3463,                 1.2363,                0.49611,                0.54805,                0.49767,                0.33099,                 1.1861,                 1.6693,                 1.3822,             0.00079213,             0.00079213,             0.00079213
                     39,                0.92839,                 1.3371,                 1.2336,                0.54939,                 0.4535,                0.47362,                0.31208,                 1.0954,                 1.6984,                 1.3422,             0.00077975,             0.00077975,             0.00077975
                     40,                0.94484,                  1.358,                 1.2538,                0.44585,                0.56616,                0.50414,                0.33193,                 1.1519,                 1.6717,                  1.362,             0.00076738,             0.00076738,             0.00076738
                     41,                0.93455,                 1.3253,                 1.2419,                0.59226,                 0.4935,                0.50176,                0.34804,                 1.1231,                 1.5905,                 1.3559,               0.000755,               0.000755,               0.000755
                     42,                0.93467,                 1.2815,                 1.2351,                0.51825,                0.50957,                0.49576,                0.33629,                 1.1479,                 1.6384,                 1.3998,             0.00074263,             0.00074263,             0.00074263
                     43,                0.89875,                 1.2494,                 1.2283,                0.51917,                0.60366,                0.53641,                0.35968,                 1.1943,                 1.5751,                 1.4029,             0.00073025,             0.00073025,             0.00073025
                     44,                0.90467,                 1.3042,                 1.2316,                0.51109,                0.53815,                0.52541,                0.35376,                 1.1317,                 1.5544,                 1.3455,             0.00071788,             0.00071788,             0.00071788
                     45,                0.90745,                 1.2408,                 1.2222,                0.58661,                0.57852,                0.58859,                0.40118,                  1.113,                 1.5084,                 1.3423,              0.0007055,              0.0007055,              0.0007055
                     46,                0.88734,                  1.221,                 1.2272,                0.62542,                0.45167,                0.52778,                0.38008,                 1.0919,                 1.5475,                 1.3412,             0.00069313,             0.00069313,             0.00069313
                     47,                0.89324,                 1.1798,                 1.2072,                0.48634,                 0.6068,                 0.5385,                0.38029,                 1.1413,                 1.6352,                 1.3588,             0.00068075,             0.00068075,             0.00068075
                     48,                0.86109,                 1.1196,                  1.178,                0.56144,                 0.5353,                0.54412,                0.35707,                 1.1921,                 1.6245,                 1.3586,             0.00066838,             0.00066838,             0.00066838
