     52/99        0G   0.02786   0.01597  0.008553   0.05239        65       640    0.5495     0.566    0.5223    0.3201   0.03445   0.01583   0.03473
     53/99        0G   0.02758   0.01575  0.008963    0.0523        42       640    0.6447    0.5005    0.5131    0.3032   0.03549   0.01597   0.03956
     54/99        0G    0.0272   0.01634  0.008521   0.05206        36       640    0.5921    0.4631    0.4952    0.2988    0.0352    0.0155   0.05035
     55/99        0G   0.02724   0.01609  0.008241   0.05157        49       640    0.5778    0.5923    0.5502    0.3311   0.03465    0.0155   0.03679
     56/99        0G   0.02705   0.01538  0.008747   0.05118        44       640    0.7086    0.4902     0.528    0.3196   0.03334   0.01444    0.0389
     57/99        0G    0.0268   0.01524  0.008244   0.05029        37       640    0.6341    0.4791     0.509    0.3315   0.03359   0.01597   0.03824
     58/99        0G   0.02641   0.01572  0.007447   0.04959        42       640    0.6864    0.4714    0.5305    0.3341   0.03363   0.01688   0.03904
     59/99        0G   0.02545   0.01474  0.007417   0.04761        37       640    0.5726    0.5147    0.5262    0.3365   0.03418   0.01678   0.03788
     60/99        0G   0.02628   0.01574  0.006792   0.04882        41       640    0.6795    0.4673    0.5259    0.3319   0.03467   0.01517   0.04026
     61/99        0G   0.02541   0.01426  0.006881   0.04655        54       640    0.6158    0.4937    0.5445    0.3405    0.0338   0.01496   0.04253
     62/99        0G   0.02548   0.01488  0.007276   0.04764        37       640     0.594    0.4992    0.5268    0.3267   0.03509   0.01631   0.03945
     63/99        0G   0.02459   0.01469  0.006826   0.04611        54       640    0.5684    0.5299    0.5111    0.3348   0.03474   0.01657   0.03986
     64/99        0G   0.02405   0.01488  0.006807   0.04574        61       640    0.6667    0.4788    0.5184    0.3097   0.03601   0.01728   0.03694
     65/99        0G   0.02393   0.01463   0.00717   0.04573        35       640    0.5822    0.5009     0.525    0.3368   0.03462   0.01643   0.03653
     66/99        0G   0.02329   0.01412  0.006143   0.04355        42       640    0.6114    0.5502    0.5444    0.3384   0.03416   0.01706   0.03862
     67/99        0G   0.02358   0.01448  0.005512   0.04357        41       640    0.6773    0.4898     0.526      0.32    0.0347    0.0171   0.04399
     68/99        0G   0.02337   0.01408  0.005841   0.04329        40       640    0.5879    0.5564    0.5191    0.3373   0.03369   0.01639   0.04908
     69/99        0G   0.02369   0.01381  0.005634   0.04314        44       640     0.694    0.5108    0.5478    0.3562   0.03397   0.01606   0.04079
     70/99        0G   0.02299   0.01349  0.006004   0.04248        36       640    0.6506    0.5149    0.5382    0.3447   0.03407   0.01692   0.04443
     71/99        0G   0.02335   0.01414  0.005502   0.04299        54       640     0.614    0.5276    0.5279    0.3443   0.03325    0.0165   0.04646
     72/99        0G   0.02294   0.01342  0.006172   0.04254        37       640     0.627    0.4843     0.516    0.3079   0.03567   0.01806   0.04111
     73/99        0G   0.02245   0.01334  0.005213     0.041        36       640    0.5654    0.5692    0.5471    0.3498    0.0334   0.01741   0.03961
     74/99        0G   0.02213    0.0129  0.005601   0.04063        54       640    0.5197    0.6284    0.5601    0.3591   0.03301   0.01723   0.04121
     75/99        0G   0.02126    0.0128  0.005386   0.03944        40       640    0.6329    0.5534    0.5507    0.3515   0.03391    0.0175   0.03867
     76/99        0G   0.02307   0.01445  0.005865   0.04339        55       640    0.6778    0.5024    0.5418     0.343   0.03462   0.01641   0.04354
     77/99        0G   0.02176   0.01321  0.005072   0.04004        48       640    0.5736    0.5691    0.5142    0.3291   0.03451   0.01779   0.04157
     78/99        0G   0.02141   0.01323  0.004513   0.03915        37       640    0.6192    0.5064    0.4964    0.3181   0.03348   0.01699   0.04681
     79/99        0G   0.02129   0.01263  0.004179    0.0381        40       640    0.6457    0.5147    0.5292    0.3233   0.03338   0.01734   0.04256
     80/99        0G   0.02073    0.0128  0.004234   0.03777        44       640    0.6779    0.5286    0.5488    0.3391   0.03362   0.01682   0.04201
     81/99        0G   0.02102   0.01324  0.004742   0.03899        44       640    0.6753    0.5286    0.5434    0.3502   0.03339   0.01692   0.04384
     82/99        0G   0.02104    0.0133  0.004894   0.03924        42       640    0.6423    0.5389    0.5312    0.3307   0.03422   0.01779   0.05003
     83/99        0G   0.02087   0.01241  0.004856   0.03813        56       640    0.6292    0.5602    0.5378    0.3483    0.0337   0.01819   0.04488
     84/99        0G   0.02009   0.01262   0.00405   0.03676        42       640    0.6384    0.5747    0.5547    0.3635   0.03345   0.01772   0.04078
     85/99        0G   0.02046   0.01282  0.005169   0.03845        49       640     0.621    0.5683    0.5468    0.3436   0.03409   0.01867    0.0449
     86/99        0G   0.02021   0.01303  0.004335   0.03757        50       640    0.6812    0.5281    0.5576    0.3486    0.0346   0.01873   0.04353
     87/99        0G   0.02087   0.01296  0.004648   0.03848        48       640    0.6924    0.5075    0.5445    0.3496    0.0328   0.01748   0.04416
     88/99        0G   0.02053   0.01269  0.003873   0.03709        45       640    0.5811     0.556    0.5336    0.3426   0.03319   0.01739   0.04892
     89/99        0G   0.02025   0.01258  0.004139   0.03698        74       640    0.6039    0.5798    0.5336    0.3411    0.0339   0.01792    0.0506
     90/99        0G   0.02001    0.0124   0.00406   0.03647        36       640    0.6526    0.5201    0.5228    0.3391   0.03356   0.01789   0.04885
     91/99        0G   0.02009   0.01227  0.004385   0.03674        39       640    0.6336    0.5228    0.5444    0.3477   0.03326   0.01724   0.04831
     92/99        0G   0.01998    0.0122  0.004244   0.03642        45       640    0.7336     0.479    0.5461     0.345   0.03353   0.01826   0.04477
     93/99        0G   0.01957   0.01254  0.004156   0.03626        36       640     0.647    0.5185     0.525     0.339    0.0337   0.01818   0.04844
     94/99        0G   0.01991   0.01258  0.004376   0.03687        33       640    0.5828    0.5092    0.5183    0.3239   0.03369   0.01875    0.0479
     95/99        0G     0.019   0.01215  0.004027   0.03517        45       640    0.5514    0.5444     0.525     0.336   0.03356   0.01804   0.05151
     96/99        0G   0.01981   0.01268  0.004026   0.03651        45       640    0.5134    0.5929    0.5275    0.3343   0.03335   0.01837   0.04794
     97/99        0G   0.01959   0.01243  0.003824   0.03584        44       640    0.5662    0.6041    0.5506     0.357   0.03319   0.01765    0.0458
     98/99        0G   0.01935   0.01204  0.004133   0.03552        46       640    0.5992      0.57    0.5359    0.3462   0.03389   0.01873   0.04856
     99/99        0G   0.01918   0.01187  0.003903   0.03496        41       640    0.6187    0.5623    0.5588    0.3516    0.0337   0.01759   0.04517
