      0/99        0G    0.1039   0.03395   0.04684    0.1847        46       640  0.003904   0.08965    0.0022 0.0004281   0.08374   0.02555    0.0455
      1/99        0G   0.07955   0.03448    0.0433    0.1573        41       640    0.1836     0.367    0.1773   0.07214     0.064   0.02306   0.04382
      2/99        0G   0.06235   0.03035    0.0415    0.1342        47       640    0.2775    0.4717     0.237    0.1062   0.05233   0.02038   0.04254
      3/99        0G   0.05923   0.02857   0.04052    0.1283        31       640      0.18    0.5177    0.2158   0.08787   0.05111   0.01819   0.04195
      4/99        0G   0.05606   0.02657   0.03958    0.1222        50       640    0.3016    0.5229     0.288    0.1181   0.04731   0.01716   0.04151
      5/99        0G   0.05194   0.02538   0.03852    0.1158        32       640    0.2593    0.4965    0.2423   0.08819   0.04864   0.01625   0.03986
      6/99        0G   0.05004   0.02483     0.037    0.1119        50       640    0.4316    0.5187    0.4078    0.1676   0.04518   0.01574    0.0379
      7/99        0G   0.04882   0.02309   0.03513     0.107        45       640    0.4785    0.5041    0.3993    0.2036   0.04511   0.01526   0.03631
      8/99        0G   0.04778   0.02247   0.03368    0.1039        37       640    0.3628    0.5094    0.3427     0.166   0.04258    0.0151   0.03759
      9/99        0G   0.05061   0.02168   0.03108    0.1034        32       640    0.3481     0.524    0.3377    0.1592   0.04838   0.01489   0.03625
     10/99        0G   0.04803   0.02033   0.03083    0.0992        54       640    0.4667    0.5357    0.3885    0.1789    0.0428   0.01495   0.03585
     11/99        0G   0.04517    0.0209   0.02902   0.09508        40       640    0.3984    0.5503    0.4022    0.1976   0.04235   0.01479   0.03601
     12/99        0G   0.04519   0.02067   0.02786   0.09372        45       640    0.4834    0.4989    0.4114    0.2179   0.04282    0.0147   0.03577
     13/99        0G   0.04367   0.02068   0.02815   0.09249        39       640    0.4085    0.3573    0.2959    0.1483   0.04387   0.01676   0.03589
     14/99        0G   0.04269   0.02062   0.02892   0.09224        44       640    0.3517    0.4111    0.2963     0.115   0.05416   0.01531   0.03697
     15/99        0G   0.04549   0.02063   0.02635   0.09248        53       640     0.422    0.5413    0.4149    0.2029   0.04034   0.01534   0.03166
     16/99        0G   0.04406   0.02037   0.02602   0.09045        37       640    0.5603     0.473     0.397    0.2031   0.04591   0.01638   0.03854
     17/99        0G   0.04274   0.02067   0.02619    0.0896        41       640    0.4074    0.4799     0.393    0.1804    0.0461   0.01802   0.03536
     18/99        0G   0.04292    0.0211   0.02603   0.09004        57       640    0.4473     0.503    0.4119    0.1946   0.04408   0.01587   0.03132
     19/99        0G   0.04324   0.02166   0.02348   0.08837        44       640    0.3902    0.5022    0.3869    0.2001   0.04038    0.0165   0.03295
     20/99        0G   0.03986   0.02123   0.02241    0.0835        28       640    0.4287     0.474    0.3647    0.1797   0.04379   0.01703   0.04301
     21/99        0G   0.03955   0.02072   0.02126   0.08153        48       640    0.5575    0.3231    0.4049    0.2136   0.04309   0.01653   0.03751
     22/99        0G    0.0382   0.02106   0.02015   0.07941        35       640    0.3854    0.5086    0.3878    0.2108    0.0411    0.0165   0.03532
     23/99        0G   0.03788   0.02191     0.019   0.07879        42       640    0.5122    0.4288    0.4468    0.2259   0.04142   0.01594   0.03378
     24/99        0G   0.03924   0.02069   0.01931   0.07923        45       640    0.5177    0.4558    0.4333    0.2482   0.04181   0.01638   0.03337
     25/99        0G   0.03732   0.02007   0.01933   0.07672        36       640    0.4572    0.5449    0.4234     0.231    0.0422   0.01605   0.03712
     26/99        0G   0.03728   0.02059   0.01855   0.07642        42       640    0.5689    0.5035    0.4761    0.2577   0.03924   0.01665   0.03802
     27/99        0G   0.03724    0.0211   0.01842   0.07676        44       640    0.4188    0.4735    0.4248    0.2407   0.03897   0.01648   0.03326
