                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.90856,                  1.176,                 1.1161,                0.54385,                0.46517,                0.49086,                0.33251,                 1.1525,                 1.8926,                 1.2378,             0.00082925,             0.00082925,             0.00082925
                     36,                0.91153,                 1.1871,                 1.1176,                0.55241,                0.48374,                0.52124,                 0.3524,                 1.0975,                 1.5923,                 1.1884,             0.00081688,             0.00081688,             0.00081688
                     37,                0.89707,                 1.1095,                 1.1165,                0.64116,                0.53291,                 0.5402,                0.36093,                 1.1651,                 1.6856,                 1.2119,              0.0008045,              0.0008045,              0.0008045
                     38,                 0.8869,                 1.1536,                 1.1026,                0.58736,                0.55442,                0.55901,                0.36222,                 1.1689,                 1.6324,                 1.2516,             0.00079213,             0.00079213,             0.00079213
                     39,                0.90513,                 1.1436,                 1.1125,                 0.6362,                0.37454,                0.47155,                 0.3374,                 1.1319,                 1.9924,                 1.2253,             0.00077975,             0.00077975,             0.00077975
                     40,                0.87696,                 1.0746,                 1.0842,                0.53395,                0.57241,                0.54253,                0.38511,                 1.0796,                 1.5858,                 1.1691,             0.00076738,             0.00076738,             0.00076738
                     41,                0.87077,                 1.0456,                 1.0986,                 0.6733,                  0.523,                0.57728,                0.39329,                 1.0917,                 1.5572,                  1.211,               0.000755,               0.000755,               0.000755
                     42,                0.89131,                 1.0778,                 1.0911,                0.63104,                0.53166,                0.58218,                0.40998,                  1.111,                 1.5277,                 1.2142,             0.00074263,             0.00074263,             0.00074263
                     43,                0.87074,                 1.0304,                 1.0868,                0.59969,                0.58958,                0.59798,                0.41121,                 1.1529,                 1.4608,                 1.2414,             0.00073025,             0.00073025,             0.00073025
                     44,                0.86998,                 1.0211,                 1.0793,                0.47695,                0.52365,                0.46544,                0.32799,                 1.0932,                 1.8616,                 1.1821,             0.00071788,             0.00071788,             0.00071788
                     45,                0.85216,                  1.018,                 1.0748,                0.57805,                0.54967,                0.53681,                 0.3683,                 1.1229,                 1.7195,                 1.2035,              0.0007055,              0.0007055,              0.0007055
                     46,                  0.855,                0.98471,                 1.0767,                0.54806,                0.54433,                0.53147,                0.35329,                 1.1826,                 1.7196,                 1.2386,             0.00069313,             0.00069313,             0.00069313
                     47,                0.84952,                0.96845,                 1.0749,                0.65714,                0.50245,                  0.584,                0.42056,                 1.0698,                 1.5168,                  1.182,             0.00068075,             0.00068075,             0.00068075
                     48,                0.84222,                0.97802,                 1.0772,                0.59045,                 0.4624,                0.50606,                0.35349,                  1.055,                 1.6891,                 1.1653,             0.00066838,             0.00066838,             0.00066838
                     49,                0.81801,                0.96578,                 1.0643,                0.60785,                0.52877,                0.54005,                0.36193,                 1.0938,                 1.6857,                 1.2168,               0.000656,               0.000656,               0.000656
                     50,                0.82848,                0.94106,                 1.0554,                0.59986,                0.51157,                0.54906,                0.36646,                 1.0622,                 1.7411,                 1.2067,             0.00064362,             0.00064362,             0.00064362
                     51,                0.82606,                0.94723,                 1.0602,                0.59616,                0.51739,                0.53098,                 0.3718,                 1.0163,                 1.6273,                 1.1557,             0.00063125,             0.00063125,             0.00063125
                     52,                0.81038,                0.94893,                 1.0574,                0.73042,                0.48208,                 0.5795,                0.41237,                 1.0594,                 1.5756,                 1.1672,             0.00061887,             0.00061887,             0.00061887
                     53,                0.80551,                0.90627,                 1.0587,                0.62385,                0.51557,                0.55186,                0.37258,                 1.1554,                 1.7188,                 1.2692,              0.0006065,              0.0006065,              0.0006065
                     54,                0.82073,                0.92327,                 1.0498,                0.66817,                0.47274,                0.58675,                0.39717,                 1.0984,                  1.585,                 1.2222,             0.00059413,             0.00059413,             0.00059413
                     55,                 0.8033,                0.88076,                 1.0485,                0.65901,                0.49067,                0.57711,                0.40964,                 1.0599,                  1.582,                 1.1641,             0.00058175,             0.00058175,             0.00058175
                     56,                0.79696,                0.87371,                 1.0432,                0.71024,                 0.4871,                0.57981,                0.40962,                 1.0596,                 1.6697,                 1.1336,             0.00056938,             0.00056938,             0.00056938
                     57,                0.80087,                0.88775,                 1.0445,                0.71412,                 0.5408,                0.60896,                 0.4185,                 1.0604,                 1.4001,                   1.18,               0.000557,               0.000557,               0.000557
                     58,                0.77986,                0.87461,                 1.0344,                0.68881,                0.54337,                0.57384,                0.39415,                 1.1236,                  1.616,                 1.2129,             0.00054463,             0.00054463,             0.00054463
