                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.96466,                 1.2638,                 1.2855,                 0.6307,                0.58642,                0.63052,                0.46115,                 1.0474,                 1.3009,                 1.3349,             0.00082925,             0.00082925,             0.00082925
                     36,                0.97311,                 1.2364,                 1.2893,                0.56071,                0.59789,                0.60433,                0.44304,                 1.0197,                 1.3538,                 1.2922,             0.00081688,             0.00081688,             0.00081688
                     37,                  0.948,                 1.2519,                 1.2825,                0.56801,                0.61375,                0.59394,                0.43786,                  1.035,                 1.3679,                 1.3199,              0.0008045,              0.0008045,              0.0008045
                     38,                0.91692,                 1.1649,                 1.2562,                 0.6507,                0.53907,                0.61695,                0.45386,                0.97339,                 1.3321,                 1.2607,             0.00079213,             0.00079213,             0.00079213
                     39,                0.93388,                 1.1786,                 1.2629,                0.60505,                0.64432,                0.63447,                 0.4538,                0.98956,                 1.2855,                 1.2575,             0.00077975,             0.00077975,             0.00077975
                     40,                0.92514,                 1.1715,                 1.2584,                0.60445,                0.61834,                0.60993,                0.44567,                0.99546,                 1.3947,                 1.2569,             0.00076738,             0.00076738,             0.00076738
                     41,                 0.9119,                   1.13,                 1.2395,                0.60389,                0.56806,                0.60997,                0.45862,                 1.0002,                 1.4775,                 1.2859,               0.000755,               0.000755,               0.000755
                     42,                 0.9029,                 1.1151,                 1.2344,                0.69702,                0.61322,                0.67397,                0.49865,                0.96551,                 1.2352,                 1.2362,             0.00074263,             0.00074263,             0.00074263
                     43,                0.90419,                 1.1091,                 1.2499,                0.71785,                0.61447,                0.66136,                0.50829,                0.92305,                 1.2514,                 1.2214,             0.00073025,             0.00073025,             0.00073025
                     44,                0.87938,                 1.1011,                 1.2211,                0.70309,                0.57041,                0.65535,                0.48469,                0.98241,                 1.3233,                 1.2757,             0.00071788,             0.00071788,             0.00071788
                     45,                0.88996,                  1.044,                 1.2306,                0.65917,                  0.596,                0.64561,                 0.4901,                0.93201,                 1.3019,                 1.2267,              0.0007055,              0.0007055,              0.0007055
                     46,                0.86547,                 1.0442,                 1.2107,                0.68843,                0.63366,                0.67783,                0.50979,                 0.9512,                  1.275,                 1.2299,             0.00069313,             0.00069313,             0.00069313
                     47,                0.83623,                0.97633,                 1.1893,                0.70275,                 0.5506,                0.64368,                0.49005,                0.97622,                 1.2623,                 1.2784,             0.00068075,             0.00068075,             0.00068075
                     48,                0.83179,                 1.0001,                 1.1966,                0.68604,                0.62816,                0.68237,                0.51193,                0.97824,                 1.2461,                 1.2494,             0.00066838,             0.00066838,             0.00066838
                     49,                0.84522,                 0.9884,                  1.205,                0.74026,                0.60745,                0.66778,                0.50475,                0.97357,                 1.2619,                 1.2592,               0.000656,               0.000656,               0.000656
                     50,                0.84687,                0.99188,                 1.2043,                 0.7365,                0.55792,                0.65381,                0.49674,                0.93145,                  1.263,                 1.2319,             0.00064362,             0.00064362,             0.00064362
                     51,                0.83625,                0.97621,                 1.1976,                0.68996,                0.64322,                0.68529,                0.53278,                0.91768,                 1.1723,                 1.2311,             0.00063125,             0.00063125,             0.00063125
                     52,                0.81813,                0.92402,                 1.1813,                0.69586,                0.64797,                0.66807,                0.50035,                0.91831,                 1.3126,                 1.2228,             0.00061887,             0.00061887,             0.00061887
                     53,                0.80854,                0.91531,                 1.1821,                0.62918,                 0.6563,                0.65715,                0.48781,                0.95722,                 1.2676,                 1.2736,              0.0006065,              0.0006065,              0.0006065
                     54,                0.80408,                0.91806,                  1.175,                0.66037,                0.61837,                0.66999,                0.51251,                0.96285,                 1.2222,                 1.2566,             0.00059413,             0.00059413,             0.00059413
