                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.0226,                  1.276,                 1.2028,                0.70768,                0.59847,                0.64273,                0.46426,                 1.0159,                 1.3429,                 1.1934,             0.00084162,             0.00084162,             0.00084162
                     35,                 1.0109,                  1.237,                 1.1917,                0.65031,                0.58159,                0.59916,                0.43003,                  1.064,                 1.4198,                 1.2123,             0.00082925,             0.00082925,             0.00082925
                     36,                0.98698,                 1.2506,                 1.1831,                0.66563,                0.60586,                   0.66,                0.49133,                 1.0186,                 1.3034,                 1.1838,             0.00081688,             0.00081688,             0.00081688
                     37,                 1.0101,                 1.1997,                 1.1933,                0.72542,                0.56649,                0.63813,                0.46447,                  1.017,                 1.3575,                 1.1848,              0.0008045,              0.0008045,              0.0008045
                     38,                 0.9808,                 1.1577,                 1.1748,                 0.7245,                0.64091,                0.68951,                  0.491,                 1.0541,                 1.2112,                 1.2257,             0.00079213,             0.00079213,             0.00079213
                     39,                0.99039,                 1.1842,                 1.1812,                0.68452,                0.59236,                0.65228,                0.47535,                 1.0788,                 1.2938,                 1.2172,             0.00077975,             0.00077975,             0.00077975
                     40,                 0.9909,                 1.1902,                 1.1983,                0.74557,                0.57824,                0.66594,                0.48387,                 1.0255,                 1.3403,                 1.1748,             0.00076738,             0.00076738,             0.00076738
                     41,                0.96516,                 1.1419,                 1.1715,                0.73607,                0.56856,                0.66308,                0.46643,                 1.0633,                 1.2391,                 1.2144,               0.000755,               0.000755,               0.000755
                     42,                0.98616,                 1.1251,                 1.1796,                0.74243,                0.52839,                0.64966,                0.47815,                 1.0003,                 1.2901,                 1.1843,             0.00074263,             0.00074263,             0.00074263
                     43,                0.96755,                 1.1064,                 1.1711,                0.66569,                 0.6131,                0.66922,                0.48858,                0.96873,                 1.2801,                 1.1648,             0.00073025,             0.00073025,             0.00073025
                     44,                0.95915,                  1.083,                 1.1654,                0.77262,                   0.59,                0.66701,                0.48455,                 0.9947,                 1.2336,                 1.1855,             0.00071788,             0.00071788,             0.00071788
                     45,                0.94406,                 1.0671,                 1.1552,                0.69842,                0.61058,                0.67955,                0.50244,                0.98218,                 1.2341,                 1.1763,              0.0007055,              0.0007055,              0.0007055
                     46,                0.94875,                 1.0477,                 1.1682,                 0.7632,                0.54789,                0.64254,                0.47411,                0.98513,                 1.3404,                 1.1559,             0.00069313,             0.00069313,             0.00069313
                     47,                0.93144,                 1.0316,                 1.1441,                0.69385,                0.58599,                 0.6628,                0.48553,                 1.0101,                  1.291,                 1.1871,             0.00068075,             0.00068075,             0.00068075
                     48,                0.94186,                 1.0394,                 1.1581,                0.80488,                0.60526,                0.70139,                0.51903,                 1.0046,                 1.2051,                 1.2041,             0.00066838,             0.00066838,             0.00066838
                     49,                0.91994,                 1.0192,                 1.1442,                0.68329,                 0.6339,                 0.6895,                0.51548,                0.98085,                 1.2208,                 1.1935,               0.000656,               0.000656,               0.000656
                     50,                0.92841,                 1.0053,                 1.1418,                0.76772,                0.60049,                0.68397,                0.50745,                0.97464,                 1.2356,                 1.1775,             0.00064362,             0.00064362,             0.00064362
                     51,                0.91068,                0.99273,                 1.1363,                0.77017,                0.62265,                0.69318,                0.51999,                0.96324,                 1.2037,                  1.169,             0.00063125,             0.00063125,             0.00063125
                     52,                0.92249,                 1.0019,                 1.1363,                0.74544,                0.62247,                 0.7084,                0.52068,                0.95022,                 1.2123,                 1.1421,             0.00061887,             0.00061887,             0.00061887
                     53,                0.89843,                0.98655,                 1.1395,                0.77511,                0.61635,                0.68909,                0.51327,                0.97463,                 1.2265,                 1.1834,              0.0006065,              0.0006065,              0.0006065
                     54,                0.88437,                0.95939,                 1.1221,                0.78722,                0.60855,                0.70196,                0.52535,                0.97633,                  1.194,                 1.1938,             0.00059413,             0.00059413,             0.00059413
                     55,                0.87807,                0.94508,                 1.1169,                 0.8227,                0.58956,                0.69294,                0.52185,                  0.943,                 1.2167,                 1.1662,             0.00058175,             0.00058175,             0.00058175
                     56,                0.87696,                0.91503,                 1.1141,                0.77504,                0.59023,                0.68253,                0.51092,                0.98236,                 1.2231,                  1.198,             0.00056938,             0.00056938,             0.00056938
                     57,                0.88721,                0.91888,                 1.1126,                0.67256,                 0.6656,                 0.6789,                0.51757,                0.95613,                 1.2774,                 1.1616,               0.000557,               0.000557,               0.000557
                     58,                0.87192,                0.90765,                 1.1109,                0.73576,                0.64743,                0.70767,                0.53265,                0.95629,                 1.2114,                  1.176,             0.00054463,             0.00054463,             0.00054463
                     59,                0.87152,                0.92008,                 1.1147,                0.73871,                0.66409,                0.70595,                0.52968,                0.99567,                 1.2173,                 1.2101,             0.00053225,             0.00053225,             0.00053225
                     60,                0.85028,                0.88859,                 1.0988,                0.75435,                0.64186,                 0.7119,                0.54567,                0.94852,                 1.1482,                  1.165,             0.00051988,             0.00051988,             0.00051988
                     61,                0.85673,                0.89565,                 1.1005,                0.75372,                0.63781,                0.69689,                0.52468,                0.95766,                 1.2909,                  1.179,              0.0005075,              0.0005075,              0.0005075
                     62,                0.85074,                0.85281,                 1.0959,                0.72423,                0.63505,                0.69812,                0.52256,                0.96518,                 1.1933,                 1.1757,             0.00049513,             0.00049513,             0.00049513
                     63,                0.85695,                0.87094,                 1.1019,                0.77231,                0.63605,                0.71306,                0.53228,                0.97363,                 1.1372,                 1.1889,             0.00048275,             0.00048275,             0.00048275
                     64,                0.84131,                0.84436,                 1.0872,                0.80419,                0.61922,                0.72027,                0.55007,                0.93066,                 1.1345,                 1.1757,             0.00047038,             0.00047038,             0.00047038
                     65,                0.82726,                0.84437,                 1.0824,                0.79886,                0.59736,                0.70062,                0.53645,                0.90808,                 1.2354,                 1.1498,               0.000458,               0.000458,               0.000458
                     66,                0.82826,                0.83202,                 1.0803,                 0.7203,                0.65159,                0.69832,                0.54275,                0.93165,                 1.1527,                 1.1789,             0.00044563,             0.00044563,             0.00044563
                     67,                0.82226,                0.81124,                 1.0779,                0.74271,                0.65548,                0.70746,                0.52812,                0.97951,                 1.1585,                 1.2133,             0.00043325,             0.00043325,             0.00043325
                     68,                 0.8128,                0.80252,                 1.0774,                0.78742,                0.60942,                0.71408,                0.54269,                0.93922,                 1.1464,                 1.1786,             0.00042087,             0.00042087,             0.00042087
                     69,                0.79681,                0.78905,                   1.07,                0.81294,                0.60779,                0.70762,                0.52044,                0.94265,                 1.1644,                 1.1683,              0.0004085,              0.0004085,              0.0004085
                     70,                 0.8021,                0.79629,                 1.0734,                0.74706,                0.65047,                0.71422,                0.54592,                0.93331,                 1.1269,                 1.1878,             0.00039613,             0.00039613,             0.00039613
                     71,                0.80214,                0.76483,                  1.073,                0.73951,                0.66324,                0.71309,                0.54718,                0.97333,                 1.1152,                 1.2088,             0.00038375,             0.00038375,             0.00038375
                     72,                0.80028,                0.77545,                 1.0767,                0.75322,                0.63221,                0.70294,                0.53564,                0.93027,                 1.1238,                 1.1617,             0.00037138,             0.00037138,             0.00037138
                     73,                 0.7822,                0.76824,                 1.0618,                0.76694,                0.58312,                0.68053,                0.51991,                0.94458,                 1.2425,                 1.1944,               0.000359,               0.000359,               0.000359
                     74,                0.79091,                0.75927,                 1.0603,                0.78809,                0.60674,                0.70641,                0.53875,                0.95114,                 1.1417,                 1.1965,             0.00034663,             0.00034663,             0.00034663
                     75,                0.77954,                0.73564,                 1.0492,                0.74314,                0.62084,                0.69073,                0.52378,                0.91965,                 1.2015,                 1.1795,             0.00033425,             0.00033425,             0.00033425
                     76,                0.77709,                0.74665,                 1.0606,                0.76456,                0.60528,                0.68833,                0.52268,                0.95058,                 1.2255,                 1.1872,             0.00032188,             0.00032188,             0.00032188
                     77,                0.77229,                0.73492,                 1.0519,                0.80307,                0.62498,                0.70605,                0.53685,                 0.9212,                 1.1971,                 1.1726,              0.0003095,              0.0003095,              0.0003095
                     78,                0.77003,                0.71396,                 1.0431,                0.80853,                0.58483,                0.69634,                 0.5301,                 0.9214,                 1.1883,                 1.1747,             0.00029713,             0.00029713,             0.00029713
                     79,                 0.7666,                0.70839,                 1.0407,                0.79783,                0.59517,                0.70625,                0.53176,                 0.9448,                 1.1915,                 1.1917,             0.00028475,             0.00028475,             0.00028475
                     80,                0.76399,                0.71457,                 1.0448,                0.81475,                0.60185,                0.71343,                0.55067,                0.90758,                 1.1649,                 1.1701,             0.00027237,             0.00027237,             0.00027237
                     81,                0.74652,                0.69228,                 1.0356,                0.70175,                0.66455,                0.70438,                0.54564,                0.91872,                 1.1783,                 1.1821,                0.00026,                0.00026,                0.00026
                     82,                0.74287,                0.68938,                 1.0396,                0.80976,                0.61679,                0.71225,                0.54342,                0.92185,                 1.1928,                 1.1898,             0.00024762,             0.00024762,             0.00024762
                     83,                0.73909,                0.67865,                 1.0394,                 0.7741,                0.59833,                0.70047,                0.53756,                0.92951,                 1.2024,                 1.2014,             0.00023525,             0.00023525,             0.00023525
                     84,                0.74877,                 0.6786,                 1.0392,                0.79061,                0.61223,                0.70463,                0.53614,                0.91265,                 1.1522,                 1.1743,             0.00022288,             0.00022288,             0.00022288
                     85,                 0.7387,                0.65458,                 1.0279,                0.72135,                0.64932,                0.70636,                0.54525,                0.91707,                 1.1792,                 1.1882,              0.0002105,              0.0002105,              0.0002105
